A
a, ab + ABL    от, из
ab-eo, ii, itum, îre    уходить
ab-solvo, solvi, solûtum, 3    освобождать
ab-sum, afui, – abesse    отсутствовать
ac-cipio, cêpi, ceptum, 3    принимать
ac-cûso, cusâvi, cusatum, 1    обвинять
acerbus, a, um    терпкий
Ad + ACC    у, при; к, до
ad-do, didi, ditum, 3    прибавлять
ad-dûco, duxi, ductum, 3    доводить, приводить
I adeo    настолько, до такой степени
II ad-eo, ii, itum, îre    подходить
ad-hortor, hortâtus sum, hortâri, 1    убеждать
administro, ministrâvi, ministrâtum, 1    руководить
ad-moneo, monui, monitum, 1    напоминать, побуждать
ad-opto, optâvi optâtum, 1    усыновлять
ad-sum, afui, – , adesse    быть
adulescens, ntis    молодой человек
ad-venio, vêni, ventum, 4    приходить
adversus + ACC    против, напротив
aedes, aedis f    храм
aedificium, i n    здание
aedi-fico, ficâvi, ficâtum, 1    строить
aeger, aegra, aegrum    больной
aestas, aestâtis f    лето
ager, agri m    поле
ago, êgi, actum, 3    вести
agricola, ae m    земледелец
aio, ait    говорить, сказать (недостат. глаг.)
alacer, alacris, alacre    быстрый
albus, a, um    белый
alea, aleae f    жребий
aliênus, a, um    чужой
alio    в другое место
aliquando    однажды
aliquis, aliquid    кто-нибудь, что-нибудь
aliquis, aliqua, aliquod    какой-то, какой-нибудь, какой-либо
alius, alia, aliud    другой
alter, altera, alterum    другой (из двух)
altus, a, um    высокий
amans, amantis, m f    любящий
ambulo, ambulâvi, ambulatum 1    гулять
amîca, ae f    подруга
amicitia, ae f    дружба
amîcus, i m    друг
amo, amâvi, amâtum    любить
amor, amoris  m    любовь
amplus, a, um    широкий
an    ли
ancilla, ae f    служанка
angustus, a, um    узкий
anima, ae f    душа
animal, animalis n    животное
annus, i m    год
ante + ACC    перед, до
antea    прежде
antiquus, a, um    древний
anus, us f    старуха
aperio, aperui, apertum 4    открывать
appareo, apparui, – 2    являться, обнаруживаться
appello, appellâvi, appellâtum 1    называть
ap-propinquo, âvi, âtum 1    приближаться
aptus, a, um    пригодный
apud + ACC    у, при, возле
aqua, ae f    вода
aquila, ae m f    орел
ara, ae f    алтарь
arbor, arboris f    дерево
argentum, i n    серебро
arma, armôrum n    оружие
ars, artis f    искусство
ascendo, ascendi, ascensum 3    восходить
asper, era, erum    трудный; горький
at    но, же
ater, atra, atrum    черный
atque = ac    и также, а также
atrium, i n    атрий
attentus, a, um    внимательный
audax, gen: audacis    смелый
audeo, ausus sum, audêre 2    сметь
audio, audîvi, audîtum 4    слышать
aurum, i m    золото
aut    или
autem    но, же
autumnus, i m    осень
auxilium, i n    помощь
avarus, a, um    алчный
avarus, i m    скупец, жмот
avis, avis f    птица
 
B
baculum, i n; baculus, i m    трость
barba, ae f    борода
beâtus, a, um    счастливый
bellum, i n    война
beneficium, i n    благодеяние
benigne    ласково, любезно
bestia, ae f    зверь
bibliothecarius, i m    библиотекарь
bibo, bibi, --, 3    пить
bis    дважды
bonitas, bonitâtis f    добро
bonus, a, um    хороший
bracchium, i n    рука
brevis, breve    краткий
brevitas, brevitâtis f    краткость
 
C
caelum, i n    небо
caeruleus, a, um    голубой
candidus, a, um    белоснежный
canis, canis m,f    собака
canto, cantâvi, cantâtum 1    петь
capio, cêpi, captum 3    хватать
caput, capitis n    голова
caritas, caritâtis f    дороговизна; любовь, почет
carmen, carminis, n    песня
carus, a, um    дорогой
casa, ae f    дом
casus, us m    случай
causa, ae f    причина
cedo, cessi, cessum 3    идти
celebro, celebrâvi, celebrâtum 1    прославлять
celer, celeris, celere    быстрый
celeriter    быстро
certus,a, um    верный
charta ae f    карта; открытка
circum + ACC    вокруг
cito    быстро
citra + ACC    с этой стороны
civis, civis m,f    гражданин
civitas, civitâtis f    государство
clamo, clamâvi, clamâtum 1    кричать
clarus, a, um    славный
co-gnosco, gnôvi, gnitum 3    знать
colo, colui, cultum 3    возделывать; почитать
color, colôris m    цвет
commodus, a, um    удобный
comparo, parâvi, paratum 1    сравнивать
com-prehendo, prehendi, prehensum    понимать
concordia, ae f    согласие
con-do, dido, ditum 3    основывать
con-firmo, firmâvi, firmâtum 1    укреплять
con-sto, stiti, – 3    состоять
con-tineo, tinui, tentum 3    сдерживать
contra + ACC    против
copia, ae f    изобилие
coqua, ae f    повариха
cor, cordis n    сердце
corpus, corporis n    тело
cotidie    ежедневно
cras    завтра
credo, credidi, creditum 3    верить
creo, creâvi, creâtum 1    создавать
cubiculum, i n    спальня
I cum + ABL    предл. с, вместе
II cum    союз. когда, в то время как
cum....tum    как...как
cupio, cupîvi, cupîtum 3    желать
cur    почему
curo, curâvi, curâtum 1    лечить
curro, cucurri, cursum 3    бежать
custodio, custodîvi, custodîtum 4    охранять
 
D
de + ABL    от, из; о
dea, ae f    богиня
debeo, debui, debitum 2    быть должным
debilis, debilis, debile    слабый
defendo, defendi, defensum 3    защищать
deinde    затем
deleo, delêvi, delêtum 2    разрушать
denique    наконец
dens, dentis m    зуб
descendo, scendi, scensum 3    спускаться
de-spero, sperâvi, sperâtum 1    отчаиваться
destino, destinâvi, destinâtum 1    предназначать
desum, fui, --, esse    не хватать
deus, i m    бог
dexter, dextra, dextrum    правый
dico, dixi, dictum 3    говорить
dies, diêi m    день
difficilis, difficile    трудный
dignus, a, um    достойный
diligentia, ae f    усердие
diligo, dilexi, dilectum 3    любить, почитать
discipulus, i m    ученик
disco, didici, – , 3    учиться
disputo, disputâvi, disputâtum 1    рассуждать, спорить
diu    долго
dives, gen: divitis    богатый
do, dedi, datum, dare 1    дать
doceo, docui, doctum, 2    учить
dolor, dolôris m    боль, горе
domus, us f    дом
donec    пока, до тех пор пока
dono, donâvi, donâtum 1    дать
dormio, dormîvi, dormîtum 4    спать
dubius, a, um    сомнительный
duco, duxi, ductum 3    вести
dulcis, dulce    сладкий, милый
dum    пока
 
E
e, ex    из, от, со времени
ecce    вот
edo, edi, esum, edere (esse)    есть
educo, educâvi, educâtum 1    воспитывать
ef-ficio, effêci, effectum 3    совершать
ego    я
emendo, emendâvi, emendâtum 1    справлять
emergo, mersi, mersum 3    возникать
emo, emi, emptum 3    покупать
enim    ибо
eo, ii, itum, ire    идти
epistula, ae f    письмо
ergo    следовательно
erro, errâvi, errâtum 1    ошибаться
erudio, erudîvi, erudîtum 4    просвещать
etiam, etiamsi    даже, даже если
exceptio, exceptiônis f    исключение
exemplar, exemplâris n    пример
exersitus, us m    войско
ex-igo, êgi, actum 3    изгонять
existimo, existimâvi, existimâtum 1    судить
expôno, posui, positum 3    выставлять
ex-specto, spectâvi, spectâtum 1    ожидать
extra    за, вне
 
F
faber, fabri m    ремесленник
fabula, ae f    сказка, история
facilis, facile    легкий
facio, fêci, factum 3    делать
fallo, fefelli, falsum 3    ошибаться
fama, ae f    молва
familia, ae f    семья
fateor, fassus sum, fatêri 2    признаваться
felix, gen: felicis    счастливый
femina, ae f    женщина
fenestra, ae f    окно
fero, tuli, lâtum, ferre    нести
ferrum, i n    железо
festîno, festinâvi, festinâtum 1    торопиться
festus, a, um    праздничный
fidêlis, fidêle    верный
fides, fidei f    вера
filia, ae f    дочь
filius, i m    сын
finio, finîvi, finîtum 4    кончать
finis, finis m    конец
fio, factus sum fieri    становиться, делаться
firmo, firmâvi, firmâtum 1    укреплять
fleo, flêvi, flêtum 2    плакать
flos, floris m    цветок
fluvius, i m    река
folium, i n    лист
fons, fontis m    источник
formo, formâvi, formâtum 1    формировать
forte    случайно
fortis, forte    сильный
fortuna, ae f    судьба
forum, i n    форум, площадь
frater, fratris m    брат
frigus, frigosis n    холод
frustra    напрасно
fugio, fûgi, fugitum 3    убегать
fulmen, fulminis n    молния
fundo, fundâvi, fundâtum 1    основывать
futûrus, a, um     будущий
 
G
gaudeo, gavîsus sum, gaudêre 2    радоваться
gemma, ae f    камень, украшение
gens, gentis f    род, народ
genus, generis n    род, происхождение
gloria, ae f    слава
gradus, us m    степень
grandis, grande    большой; пожилой
gratia, ae f    благодарность
gratus, a, um    милый; благодарный
gravis, grave    тяжелый, суровый
gravitas, gravitâtis f    тяжесть
 
 
 
H
habeo, habui, habitum 2    иметь
habito, habitâvi, habitâtum 1    обитать
haud    не, совсем не
herba, ae f    трава
heri    вчера
I hîc    здесь
II hic, haec, hoc    этот, эта, это; он, она, оно
hiems, hiemis f ; hieme    зима; зимой
hodie    сегодня
homo, hominis m    человек
honestus, a, um    честный
honor, honôris m    честь
hora, ae f    час
horrendus, a, um    ужасный
hortus, i m    сад
hospes, hospitis m,f    хозяин
hostis, hostis   m    враг
huc    сюда
humânus, a, um    человеческий
humilis, humile    низкий; скромный
humus, i f; humi    земля; на земле
 
 
 
I
iaceo, iacui, – , 2    лежать
iacio, ieci, iactum 3    бросать
iam    уже
ianua, ae f    дверь
ibi    где
idem, eadem, idem    тот же. та же. то же
igitur    итак
ignavia, ae f    праздность
ignis, ignis m    огонь
ille, illa, illud    тот, та, то; он, она, оно
illustro, illustrâvi, illustrâtum 1    освещать
